iter	RMSE	R2	MAE	MAPE
0	1.714297059	0.04357823151	1.244151326	0.4069633432
1	1.682129109	0.07913504642	1.20969175	0.3952628732
2	1.651241271	0.1126430361	1.178478398	0.3846159202
3	1.626492173	0.1390434238	1.152091309	0.3754196086
4	1.603316442	0.1634039985	1.127744706	0.3669943982
5	1.584956766	0.1824541236	1.110541552	0.3605205448
6	1.567718533	0.2001409238	1.0929777	0.3540435311
7	1.552681984	0.2154108104	1.078177821	0.3484629557
8	1.537111922	0.2310673996	1.065097246	0.3429537587
9	1.525851705	0.2422918702	1.053609548	0.3385541219
10	1.511359686	0.2566164276	1.041765277	0.3333424456
11	1.497457087	0.2702299043	1.030424961	0.3285652464
12	1.487017788	0.2803694039	1.020995572	0.3250141365
13	1.483088593	0.2841673858	1.01832807	0.323816072
14	1.481034312	0.286149065	1.016130204	0.3231113658
15	1.470153124	0.2965998865	1.007895941	0.3193353276
16	1.466699425	0.2999008734	1.005672236	0.3178579581
17	1.453055914	0.3128651989	0.9962880459	0.3152140232
18	1.443500625	0.321872675	0.9901366667	0.3120536336
19	1.427769109	0.3365728279	0.9789476301	0.3084780908
20	1.422596676	0.3413709664	0.9735518981	0.3064334504
21	1.412609258	0.350586386	0.9676537592	0.3044139049
22	1.40445252	0.3580644677	0.9624996921	0.3024683199
23	1.396820749	0.3650220456	0.9579622715	0.3007707372
24	1.390133196	0.3710876537	0.9528114653	0.299187095
25	1.377630809	0.3823492325	0.9437380638	0.2961502582
26	1.371767346	0.3875957255	0.9398752786	0.2950240319
27	1.368369146	0.3906261149	0.9374559429	0.2938185206
28	1.366254734	0.3925078759	0.9362295273	0.2932252122
29	1.361735102	0.3965204511	0.9334795442	0.2917530736
30	1.355492426	0.4020408962	0.9292402966	0.2905050261
31	1.352077305	0.4050501793	0.9268421242	0.2891319593
32	1.348008325	0.4086257086	0.9242756518	0.287601776
33	1.339763485	0.4158376455	0.9186009508	0.2860893818
34	1.33286663	0.4218364847	0.9135496282	0.2842390349
35	1.330471914	0.4239121521	0.9120428367	0.2837951551
36	1.327589345	0.4264057246	0.9107527577	0.2832003706
37	1.324793661	0.4288189704	0.9093063864	0.2824826199
38	1.320727807	0.4323195533	0.9069266195	0.2819986174
39	1.312632976	0.4392569324	0.9009093778	0.2798397027
40	1.307723757	0.4434434234	0.8976166121	0.2783816448
41	1.304107354	0.4465173903	0.894741377	0.2771295788
42	1.300816264	0.4493074404	0.8921697644	0.2759016195
43	1.299353901	0.4505449091	0.8910323721	0.2754936206
44	1.291324998	0.4573142616	0.8861483335	0.2742979295
45	1.286234786	0.4615842026	0.882701682	0.2733113124
46	1.280653593	0.4662466221	0.8784079825	0.2719525451
47	1.278616558	0.4679432709	0.8770893524	0.2715255161
48	1.274673333	0.4712199122	0.8742460181	0.2705026063
49	1.271900719	0.4735177697	0.8728872854	0.2698276439
50	1.268814611	0.4760695564	0.8711968084	0.2695113349
51	1.26518357	0.4790639907	0.8687947127	0.2685623544
52	1.26182908	0.4818227335	0.8663265499	0.2675246873
53	1.260852758	0.4826242876	0.8655086656	0.2672383798
54	1.25989573	0.4834093992	0.8653872395	0.2671598123
55	1.258531943	0.4845271714	0.8644024105	0.2668502513
56	1.257056651	0.4857349709	0.8634358188	0.2663717851
57	1.255912384	0.4866707895	0.8627766793	0.2660667257
58	1.2538489	0.48835622	0.861967533	0.2658835121
59	1.250249344	0.4912896629	0.8591552723	0.2648600331
60	1.24935971	0.492013366	0.8588169985	0.2646409574
61	1.248260957	0.4929064739	0.8578484813	0.2643991475
62	1.245330964	0.4952842409	0.8559256986	0.2639000629
63	1.243652479	0.4966438581	0.8553013766	0.2636545715
64	1.241153824	0.4986644387	0.8533765832	0.262859633
65	1.240093765	0.4995204461	0.8525089344	0.262653394
66	1.237943831	0.5012542915	0.8515706812	0.2621586944
67	1.236273621	0.5025991799	0.8505907188	0.261886847
68	1.234688008	0.5038742683	0.8490195737	0.2614102702
69	1.231456532	0.5064678312	0.8471391986	0.2608176931
70	1.228417456	0.5089007727	0.8443387703	0.2598148363
71	1.22757558	0.5095736764	0.8437020762	0.2595705196
72	1.226056388	0.5107867838	0.8421088368	0.2587929058
73	1.223307426	0.5129780716	0.8399059133	0.2581088783
74	1.221018284	0.5147990678	0.8382877146	0.2576464198
75	1.218821766	0.5165431758	0.8367799495	0.2571368187
76	1.216991049	0.5179944264	0.8358532442	0.2567172757
77	1.216252112	0.5185795806	0.835508789	0.2565699458
78	1.215566284	0.5191223602	0.8355756076	0.2565268722
79	1.21452366	0.5199469301	0.8353659338	0.2564353393
80	1.210547062	0.5230853665	0.8326926243	0.2556645101
81	1.208880317	0.5243977447	0.8314796731	0.2552374968
82	1.207359995	0.5255932547	0.8304967819	0.2549739555
83	1.2035484	0.5285838988	0.8280265535	0.2541419593
84	1.202106868	0.5297124854	0.8275341285	0.2539775042
85	1.200461337	0.5309991315	0.8263055523	0.2535106954
86	1.198769902	0.532319833	0.8254047844	0.2531902476
87	1.197296925	0.5334684417	0.8245142779	0.2526742195
88	1.194658752	0.5355221268	0.8231989694	0.2522905076
89	1.192798626	0.5369674176	0.821561929	0.2516158584
90	1.190456797	0.5387837824	0.8204677568	0.2512217943
91	1.18891461	0.5399779811	0.8193432479	0.2508115809
92	1.187071931	0.5414028367	0.8182408154	0.2505086369
93	1.185262686	0.5427996891	0.8170989886	0.2500304078
94	1.182925676	0.544600857	0.8159401507	0.2497220878
95	1.181834574	0.5454405676	0.8149609294	0.2494666866
96	1.179298512	0.5473893241	0.8132449809	0.2489332805
97	1.17670461	0.5493781958	0.8116292344	0.2485119002
98	1.175114539	0.5505952158	0.8106211587	0.2479344097
99	1.171867345	0.5530754653	0.8094844842	0.2476619086
100	1.169915001	0.5545633869	0.8086462468	0.2474011582
101	1.1674578	0.5564325447	0.8076523603	0.2470949466
102	1.166846599	0.5568968659	0.8073085964	0.2469705847
103	1.165673142	0.5577876452	0.8059490812	0.2462216029
104	1.164429396	0.5587308018	0.8052664792	0.245958366
105	1.16290998	0.5598816386	0.8038374009	0.2455246227
106	1.16075745	0.5615094368	0.8026101928	0.2452435252
107	1.159476297	0.5624768454	0.8013464813	0.2448326337
108	1.158260613	0.5633938297	0.8001643276	0.244406179
109	1.157034218	0.5643179192	0.7992581354	0.2441821896
110	1.156429462	0.5647732434	0.7988367847	0.2438770441
111	1.154722305	0.5660572847	0.797953111	0.2436126884
112	1.15339277	0.5670559836	0.7971972585	0.2434275004
113	1.149799019	0.5697497216	0.7954319778	0.2429400827
114	1.148089055	0.5710284943	0.7945174176	0.2426720472
115	1.147408728	0.5715367374	0.7942765187	0.2426156705
116	1.14616119	0.5724679378	0.7933595285	0.2424168496
117	1.144959806	0.5733637294	0.7925615198	0.2421989249
118	1.143716937	0.5742894659	0.7921466845	0.2420413305
119	1.143091057	0.5747552637	0.7914880781	0.2418609119
120	1.141245705	0.5761271459	0.7906647081	0.2416189176
121	1.138945516	0.5778340616	0.7891537077	0.2411082861
122	1.136446757	0.5796844286	0.7879210442	0.2408221345
123	1.135300264	0.5805320632	0.7872773813	0.2406467044
124	1.134200254	0.5813445271	0.7865517282	0.240433115
125	1.133068965	0.5821792725	0.7863622585	0.240415649
126	1.129255587	0.5849869172	0.7843300331	0.2396472618
127	1.128627036	0.5854487864	0.7839694932	0.2395669978
128	1.127570779	0.5862243617	0.7830034071	0.2393057288
129	1.126026783	0.5873567616	0.7822408309	0.2391721882
130	1.124864503	0.5882081791	0.7812281881	0.2389710573
131	1.124084802	0.5887788488	0.7804692266	0.2387031641
132	1.122312374	0.5900746325	0.7790657224	0.238210623
133	1.120903134	0.5911034381	0.7783412195	0.2379569329
134	1.119102445	0.5924161366	0.7770446407	0.2375087373
135	1.118012761	0.5932094891	0.7762214028	0.2372258332
136	1.115600456	0.5949630366	0.7749774308	0.2369712445
137	1.115025654	0.5953803119	0.7741184059	0.236664536
138	1.113329032	0.5966107125	0.7728046105	0.236176826
139	1.112936864	0.5968948492	0.7723580019	0.235961228
140	1.112203404	0.5974259915	0.7720087968	0.2358111667
141	1.111351354	0.5980425722	0.7715043478	0.2356774381
142	1.109502913	0.599378562	0.7701870633	0.2352655741
143	1.108114996	0.600380238	0.7696719903	0.2351572898
144	1.105827206	0.6020286272	0.7682843178	0.2347535417
