iter	Passed	Remaining
0	39	14171
1	56	9964
2	89	10533
3	123	10936
4	160	11291
5	197	11558
6	233	11678
7	266	11642
8	297	11499
9	330	11468
10	360	11324
11	390	11240
12	430	11403
13	463	11346
14	504	11498
15	538	11486
16	570	11403
17	604	11375
18	634	11287
19	666	11230
20	709	11344
21	772	11767
22	817	11874
23	871	12093
24	927	12314
25	1041	13258
26	1166	14260
27	1250	14690
28	1338	15141
29	1397	15230
30	1470	15463
31	1504	15282
32	1536	15089
33	1567	14892
34	1599	14719
35	1631	14549
36	1669	14437
37	1700	14274
38	1733	14133
39	1764	13984
40	1810	13956
41	1847	13857
42	1887	13786
43	1926	13702
44	1961	13597
45	1998	13514
46	2031	13398
47	2069	13322
48	2102	13213
49	2136	13116
50	2169	13016
51	2210	12967
52	2253	12924
53	2291	12857
54	2320	12744
55	2352	12644
56	2386	12561
57	2420	12480
58	2458	12417
59	2501	12380
60	2537	12312
61	2569	12225
62	2602	12143
63	2643	12104
64	2678	12033
65	2716	11978
66	2751	11908
67	2787	11845
68	2818	11764
69	2852	11695
70	2889	11638
71	2932	11608
72	2973	11568
73	3028	11581
74	3070	11546
75	3101	11468
76	3141	11425
77	3175	11358
78	3208	11290
79	3245	11237
80	3277	11166
81	3309	11098
82	3341	11030
83	3374	10967
84	3411	10915
85	3445	10857
86	3478	10795
87	3509	10726
88	3540	10660
89	3571	10595
90	3601	10528
91	3634	10467
92	3667	10409
93	3700	10354
94	3734	10300
95	3764	10235
96	3804	10198
97	3838	10143
98	3868	10082
99	3900	10024
100	3932	9968
101	3971	9927
102	4010	9890
103	4066	9892
104	4104	9849
105	4148	9822
106	4184	9776
107	4218	9725
108	4248	9667
109	4279	9610
110	4314	9561
111	4342	9499
112	4377	9451
113	4410	9400
114	4445	9355
115	4477	9301
116	4508	9248
117	4538	9192
118	4568	9137
119	4599	9083
120	4630	9031
121	4662	8980
122	4700	8941
123	4731	8890
124	4763	8841
125	4796	8793
126	4827	8742
127	4859	8694
128	4890	8644
129	4922	8594
130	4955	8548
131	4987	8500
132	5022	8458
133	5078	8451
134	5119	8419
135	5155	8378
136	5205	8358
137	5242	8320
138	5274	8272
139	5307	8226
140	5339	8179
141	5372	8134
142	5403	8086
143	5440	8047
144	5472	8001
145	5504	7954
146	5536	7909
147	5567	7862
148	5599	7817
149	5631	7771
150	5662	7725
151	5694	7680
152	5729	7638
153	5765	7599
154	5803	7563
155	5842	7527
156	5878	7488
157	5909	7443
158	5944	7403
159	5979	7362
160	6010	7317
161	6046	7278
162	6082	7239
163	6129	7213
164	6172	7182
165	6211	7146
166	6245	7105
167	6284	7069
168	6320	7031
169	6352	6987
170	6385	6945
171	6417	6902
172	6451	6862
173	6482	6817
174	6519	6779
175	6550	6736
176	6587	6699
177	6621	6658
178	6653	6616
179	6687	6575
180	6718	6533
181	6749	6490
182	6789	6455
183	6820	6412
184	6855	6373
185	6886	6330
186	6918	6289
187	6951	6248
188	6982	6206
189	7014	6165
190	7045	6122
191	7074	6079
192	7115	6045
193	7159	6015
194	7205	5985
195	7246	5952
196	7285	5916
197	7320	5878
198	7357	5841
199	7392	5802
200	7425	5763
201	7459	5724
202	7491	5682
203	7523	5642
204	7555	5602
205	7587	5561
206	7619	5521
207	7652	5481
208	7682	5440
209	7712	5398
210	7743	5357
211	7782	5322
212	7816	5284
213	7849	5244
214	7884	5207
215	7915	5167
216	7946	5126
217	7977	5086
218	8008	5046
219	8037	5005
220	8073	4968
221	8107	4930
222	8169	4908
223	8215	4877
224	8244	4836
225	8275	4796
226	8314	4761
227	8347	4723
228	8387	4688
229	8431	4655
230	8470	4620
231	8501	4580
232	8535	4542
233	8566	4502
234	8597	4463
235	8629	4424
236	8660	4385
237	8690	4345
238	8720	4305
239	8751	4266
240	8783	4227
241	8816	4189
242	8845	4149
243	8879	4112
244	8911	4073
245	8941	4034
246	8972	3995
247	9003	3957
248	9034	3918
249	9065	3879
250	9101	3843
251	9135	3806
252	9169	3769
253	9218	3738
254	9249	3699
255	9283	3662
256	9313	3623
257	9344	3585
258	9392	3553
259	9428	3517
260	9471	3483
261	9510	3448
262	9556	3415
263	9599	3381
264	9631	3343
265	9661	3305
266	9693	3267
267	9724	3229
268	9756	3191
269	9787	3153
270	9823	3117
271	9854	3079
272	9888	3042
273	9920	3005
274	9954	2968
275	9985	2930
276	10016	2892
277	10048	2855
278	10080	2818
279	10112	2780
280	10151	2745
281	10316	2743
282	10413	2722
283	10467	2690
284	10520	2657
285	10558	2621
286	10600	2585
287	10637	2548
288	10667	2509
289	10699	2471
290	10733	2434
291	10766	2396
292	10802	2359
293	10833	2321
294	10874	2285
295	11064	2280
296	11141	2250
297	11205	2218
298	11272	2186
299	11306	2148
300	11340	2109
301	11398	2075
302	11432	2037
303	11466	1999
304	11498	1960
305	11536	1922
306	11590	1887
307	11627	1849
308	11699	1817
309	11755	1782
310	11798	1745
311	11833	1706
312	11865	1668
313	11898	1629
314	11929	1590
315	11960	1551
316	11992	1513
317	12023	1474
318	12057	1436
319	12091	1398
320	12128	1360
321	12159	1321
322	12202	1284
323	12234	1246
324	12265	1207
325	12296	1169
326	12327	1130
327	12365	1093
328	12421	1057
329	12454	1018
330	12487	980
331	12518	942
332	12549	904
333	12580	866
334	12612	828
335	12647	790
336	12686	752
337	12728	715
338	12772	678
339	12829	641
340	12869	603
341	12906	566
342	12939	528
343	12973	490
344	13004	452
345	13037	414
346	13076	376
347	13110	339
348	13144	301
349	13174	263
350	13204	225
351	13240	188
352	13274	150
353	13304	112
354	13336	75
355	13369	37
356	13402	0
