,Адрес,Цена,Тип предложения,Площадь участка,Коммуникации,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Телефон,Санузел,Пол
0,"Бишкек, Ак-Орго ж/м, Омур, (Кипкалова) 20/Муромская",$ 37 000,от собственника,4.11 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",есть,обмен на авто,42.8388,74.5233,,,,,,,,,,,,,,
1,"с. Кок-Джар, Вишневая 26",$ 30 000,от собственника,4 соток,"вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.7882,74.6647,в предгорьях,"хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
2,Кант,$ 980 000,от собственника,140 соток,"свет,                                             вода",красная книга,,,42.8858,74.817,,,,,,,,,,,,,,
3,"с. Военно-Антоновка, Октябрьская/Проектируемая",$ 12 000,от собственника,4 соток,свет,"договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,,42.8582,74.4477,в городе,"ровный,                                             все документы",нет,,,,,,,,,,,
4,с. Кош-Коль,$ 65 000,от собственника,100 соток,,красная книга,,рассмотрю варианты,42.5419,76.6252,,,,,,,,,,,,,,
5,"Бишкек, 1-линия -",$ 28 000,от собственника,6 соток,свет,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.827,74.488,в городе,"удобный въезд,                                             все документы",,,,,,,,,,,,
6,"с. Туз,  ул. А. Дербишева 26",$ 18 000,от собственника,13 соток,,,,,42.7898,74.8535,,"сад,                                             огорожен,                                             госакт,                                             ровный,                                             все документы",есть,,,,,,,,,,,
7,Чолпон-Ата,$ 12 000,от собственника,10 соток,вода,зеленая книга,,,42.6459,77.052,,"ровный,                                             все документы,                                             удобный въезд",,,,,,,,,,,,
8,"Бишкек, Кузнечная крепость, Жибек-Жолу 367",$ 190 000,от собственника,5 соток,свет,"договор купли-продажи,                                             красная книга",нет,,42.8855,74.6179,в городе,"удобный въезд,                                             все документы,                                             огорожен,                                             госакт",нет,,,,,,,,,,,
9,"Бишкек, Таатан",$ 320 000,от агента,19 соток,"свет,                                             газ,                                             вода,                                             канализация",,,,42.8803,74.6523,в городе,"хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
10,"с. Новопавловка, Советская 195 в/Холхозная",$ 27 000,от собственника,3 соток,,красная книга,,,42.8722,74.4769,в городе,,,,,,,,,,,,,
11,"с. Ананьево, Ленина/Советская",$ 2 100 000,от агента,1000 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.7164,77.6903,,"фундамент,                                             сад,                                             хозпостройки,                                             госакт,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
