Адрес,Цена,Тип предложения,Площадь участка,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Санузел,Пол,Cвет,Отопление,"Площадь, кв.м","Стоимость, доллар США за 1 кв.м",Город,Село
"Бишкек, Ак-Орго ж/м, Омур, (Кипкалова) 20/Муромская",37000,собственник,4.11,"договор купли-продажи,                                             красная книга",1.0,обмен на авто,42.8388,74.5233,,,,,,0,1,1,0,1,0,0,0,1,0,411.00000000000006,90.0243309002433,Бишкек,False
"с. Кок-Джар, Вишневая 26",30000,собственник,4.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,обмен не предлагать,42.7882,74.6647,предгорье,"хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,0,1,1,0,0,0,0,0,0,0,400.0,75.0,с. Кок-Джар,False
Кант,980000,собственник,140.0,красная книга,,,42.8858,74.817,,,,,,0,0,1,0,0,0,0,0,1,0,14000.0,70.0,Кант,False
"с. Военно-Антоновка, Октябрьская/Проектируемая",12000,собственник,4.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,,42.8582,74.4477,город,"ровный,                                             все документы",нет,,,0,0,0,0,0,0,0,0,1,0,400.0,30.0,с. Военно-Антоновка,False
с. Кош-Коль,65000,собственник,100.0,красная книга,,рассмотрю варианты,42.5419,76.6252,,,,,,0,0,0,0,0,0,0,0,0,0,10000.0,6.5,с. Кош-Коль,False
"Бишкек, 1-линия -",28000,собственник,6.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.827,74.488,город,"удобный въезд,                                             все документы",,,,0,0,0,0,0,0,0,0,1,0,600.0,46.666666666666664,Бишкек,False
"с. Туз,  ул. А. Дербишева 26",18000,собственник,13.0,,,,42.7898,74.8535,,"сад,                                             огорожен,                                             госакт,                                             ровный,                                             все документы",есть,,,0,0,0,0,0,0,0,0,0,0,1300.0,13.846153846153847,с. Туз,False
Чолпон-Ата,12000,собственник,10.0,зеленая книга,,,42.6459,77.052,,"ровный,                                             все документы,                                             удобный въезд",,,,0,0,1,0,0,0,0,0,0,0,1000.0,12.0,Чолпон-Ата,False
"Бишкек, Кузнечная крепость, Жибек-Жолу 367",190000,собственник,5.0,"договор купли-продажи,                                             красная книга",0.0,,42.8855,74.6179,город,"удобный въезд,                                             все документы,                                             огорожен,                                             госакт",нет,,,0,0,0,0,0,0,0,0,1,0,500.0,380.0,Бишкек,False
"Бишкек, Таатан",320000,агент,19.0,,,,42.8803,74.6523,город,"хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,1900.0,168.42105263157896,Бишкек,False
"с. Новопавловка, Советская 195 в/Холхозная",27000,собственник,3.0,красная книга,,,42.8722,74.4769,город,,,,,0,0,0,0,0,0,0,0,0,0,300.0,90.0,с. Новопавловка,False
"с. Ананьево, Ленина/Советская",2100000,агент,1000.0,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.7164,77.6903,,"фундамент,                                             сад,                                             хозпостройки,                                             госакт,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,100000.0,21.0,с. Ананьево,False
"Бишкек, Джальская больница, Ахунбаева/Бакаева",159000,агент,4.0,"договор купли-продажи,                                             красная книга",1.0,рассмотрю варианты,42.8441,74.5789,,"сад,                                             дом,                                             все документы",нет,,,1,1,0,0,1,0,0,0,1,0,400.0,397.5,Бишкек,False
с. Октябрьское (Аламудунский р-н),89000,собственник,66.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,43.116,74.4974,,,,,,0,0,0,0,0,0,0,0,0,0,6600.0,13.484848484848484,с. Октябрьское (Аламудунский р-н),False
"с. Токбай, Исмаила",67000,агент,20.0,,1.0,рассмотрю варианты,42.8013,74.4088,пригород,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             удобный въезд",нет,,,0,0,1,0,0,0,0,0,1,0,2000.0,33.5,с. Токбай,False
"с. Беш-Кунгей, Район Военного Госпиталя,  СК ""Медик""/Дарыгерлер",96239,агент,13.0,"технический паспорт,                                             красная книга",0.0,обмен не предлагать,42.7809,74.6462,дача,"сад,                                             огорожен,                                             госакт,                                             дом,                                             удобный въезд",нет,,,0,0,1,0,0,0,0,0,1,0,1300.0,74.03,с. Беш-Кунгей,False
"с. Арашан, с.Арашан/кафе ""Роял Фиш""",58780,агент,5.0,,0.0,обмен не предлагать,42.7275,74.6525,пригород,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             удобный въезд,                                             все документы",нет,,,0,0,0,0,0,0,0,0,1,1,500.0,117.56,с. Арашан,False
"Бишкек, Мед. академия, Советская/Ахунбаева",1600000,агент,26.0,"технический паспорт,                                             красная книга",,,42.8437,74.6069,,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             времянка,                                             удобный въезд,                                             все документы",,,,1,1,1,0,1,0,0,0,1,1,2600.0,615.3846153846154,Бишкек,False
"Бишкек, Кара Дарыя, горького",1550000,агент,39.0,"технический паспорт,                                             красная книга",,рассмотрю варианты,42.8562,74.6284,город,"госакт,                                             удобный въезд,                                             все документы",,,,0,0,0,0,0,0,0,0,0,0,3900.0,397.43589743589746,Бишкек,False
с. Военно-Антоновка,26000,собственник,6.0,"договор купли-продажи,                                             красная книга",,,42.8723,74.4441,трасса,времянка,,,,0,0,1,0,0,0,0,0,1,0,600.0,43.333333333333336,с. Военно-Антоновка,False
"Бишкек, Мед. академия",350000,агент,4.0,"технический паспорт,                                             красная книга",,,42.8403,74.6083,,"дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,1,1,0,1,0,0,0,1,1,400.0,875.0,Бишкек,False
"Бишкек, Западный автовокзал, Жибек-Жолу/Лесхозная",100000,агент,8.0,"технический паспорт,                                             красная книга",,,42.8827,74.5621,город,"хозпостройки,                                             огорожен,                                             времянка,                                             удобный въезд,                                             все документы",,,,1,1,1,0,1,0,0,0,1,1,800.0,125.0,Бишкек,False
с. Кок-Джар,52000,собственник,4.33,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен на авто,42.8109,74.649,дача,,,,,0,0,0,0,0,0,0,0,0,0,433.0,120.09237875288683,с. Кок-Джар,False
"Бишкек, Кудайберген, Профсоюзная/Садыгалиева",55000,агент,4.0,"договор купли-продажи,                                             красная книга",,,42.8854,74.5179,город,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,400.0,137.5,Бишкек,False
"Бишкек, Рухий Мурас ж/м",140000,собственник,16.0,красная книга,1.0,рассмотрю варианты,42.8451,74.7083,,,есть,,,0,0,1,0,0,0,0,0,1,0,1600.0,87.5,Бишкек,False
"Бишкек, Кудайберген, Профсоюзная/Садыгалиева",55000,агент,4.0,"договор купли-продажи,                                             красная книга",,,42.8847,74.5178,город,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,400.0,137.5,Бишкек,False
"с. им. С. Чокморова, Эдиге",27000,агент,7.0,,,,42.7541,74.6035,пригород,,,,,0,0,0,0,0,0,0,0,0,0,700.0,38.57142857142857,с. им. С. Чокморова,False
"Бишкек, Кара Дарыя",1550000,агент,33.0,красная книга,,,42.8561,74.6284,,"удобно под коммерцию,                                             все документы",,,,0,1,1,0,1,0,0,0,1,1,3300.0,469.6969696969697,Бишкек,False
"с. Аламудун, набережная 115",125000,агент,15.0,"договор купли-продажи,                                             красная книга",,,42.9166,74.6277,,,,,,0,1,1,0,1,0,0,0,1,0,1500.0,83.33333333333333,с. Аламудун,False
"с. Маловодное (Московский р-н), байтик",125000,агент,18.0,,,,42.9818,74.2144,,,,,,0,0,0,0,0,0,0,0,0,0,1800.0,69.44444444444444,с. Маловодное (Московский р-н),False
"Бишкек, Рухий Мурас ж/м",140000,агент,16.0,,,,42.8517,74.697,,,,,,0,0,0,0,0,0,0,0,0,0,1600.0,87.5,Бишкек,False
"Бишкек, Кара-Жыгач ж/м, анкара",400000,агент,20.0,,,,42.8554,74.6568,,,,,,0,0,0,0,0,0,0,0,0,0,2000.0,200.0,Бишкек,False
"Бишкек, Рухий Мурас ж/м",140000,агент,16.0,,,,42.8535,74.6991,,,,,,0,0,0,0,0,0,0,0,0,0,1600.0,87.5,Бишкек,False
"Бишкек, Кок-Жар ж/м, ахунбаева/алматинка",130000,агент,4.5,,,,42.838,74.6382,,,,,,0,0,0,0,0,0,0,0,0,0,450.0,288.8888888888889,Бишкек,False
"Бишкек, Ала-Арча ж/м",77000,агент,16.0,,,,42.808,74.5995,,,,,,0,0,0,0,0,0,0,0,0,0,1600.0,48.125,Бишкек,False
"с. Арашан, Достук 101",180000,агент,20.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.7192,74.6555,,"сад,                                             огорожен,                                             госакт,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,0,1,0,0,0,0,0,1,0,2000.0,90.0,с. Арашан,False
